,Date,CityName,AreaName,DailyCases,CummulativeCases
61,12/13/2021,London,United Kingdom,54661,10873468
62,12/12/2021,London,United Kingdom,48854,10819515
63,12/11/2021,London,United Kingdom,54073,10771444
64,12/10/2021,London,United Kingdom,58194,10719165
65,12/9/2021,London,United Kingdom,50867,10660981
66,12/8/2021,London,United Kingdom,51342,10610958
67,12/7/2021,London,United Kingdom,45691,10560341
68,12/6/2021,London,United Kingdom,51459,10515239
69,12/5/2021,London,United Kingdom,43992,10464389
70,12/4/2021,London,United Kingdom,42848,10421104
71,12/3/2021,London,United Kingdom,50584,10379647
72,12/2/2021,London,United Kingdom,53945,10329074
73,12/1/2021,London,United Kingdom,48374,10276007
74,11/30/2021,London,United Kingdom,39716,10228772
75,11/29/2021,London,United Kingdom,42583,10189059
76,11/28/2021,London,United Kingdom,37681,10146915
77,11/27/2021,London,United Kingdom,39567,10110408
78,11/26/2021,London,United Kingdom,50091,10070841
79,11/25/2021,London,United Kingdom,47240,10021497
80,11/24/2021,London,United Kingdom,43676,9974843
81,11/23/2021,London,United Kingdom,42484,9932408
82,11/22/2021,London,United Kingdom,44917,9889926
83,11/21/2021,London,United Kingdom,40004,9845492
84,11/20/2021,London,United Kingdom,40941,9806034
85,11/19/2021,London,United Kingdom,44242,9766153
86,11/18/2021,London,United Kingdom,46807,9721916
87,11/17/2021,London,United Kingdom,38263,9675058
88,11/16/2021,London,United Kingdom,37243,9637190
89,11/15/2021,London,United Kingdom,39705,9600369
90,11/14/2021,London,United Kingdom,36517,9561099
91,11/13/2021,London,United Kingdom,38351,9524971
92,11/12/2021,London,United Kingdom,40375,9487302
93,11/11/2021,London,United Kingdom,42408,9448402
94,11/10/2021,London,United Kingdom,39329,9406001
95,11/9/2021,London,United Kingdom,33117,9366676
96,11/8/2021,London,United Kingdom,32322,9333891
97,11/7/2021,London,United Kingdom,30305,9301909
98,11/6/2021,London,United Kingdom,30693,9272066
99,11/5/2021,London,United Kingdom,34029,9241916
100,11/4/2021,London,United Kingdom,37269,9208219
101,11/3/2021,London,United Kingdom,41299,9171660
102,11/2/2021,London,United Kingdom,33865,9130857
103,11/1/2021,London,United Kingdom,40077,9097311
104,10/31/2021,London,United Kingdom,38009,9057629
105,10/30/2021,London,United Kingdom,41278,9019962
106,10/29/2021,London,United Kingdom,43467,8979236
107,10/28/2021,London,United Kingdom,39842,8936155
108,10/27/2021,London,United Kingdom,43941,8897149
109,10/26/2021,London,United Kingdom,40954,8853227
110,10/25/2021,London,United Kingdom,36567,8809774
111,10/24/2021,London,United Kingdom,39962,8773674
112,10/23/2021,London,United Kingdom,44985,8734934
113,10/22/2021,London,United Kingdom,49298,8689949
114,10/21/2021,London,United Kingdom,52009,8641221
115,10/20/2021,London,United Kingdom,49139,8589737
116,10/19/2021,London,United Kingdom,43738,8541192
117,10/18/2021,London,United Kingdom,49156,8497868
118,10/17/2021,London,United Kingdom,45140,8449165
119,10/16/2021,London,United Kingdom,43423,8404469
120,10/15/2021,London,United Kingdom,44932,8361651
121,10/14/2021,London,United Kingdom,45066,8317439
122,10/13/2021,London,United Kingdom,42776,8272883
123,10/12/2021,London,United Kingdom,38520,8231437
124,10/11/2021,London,United Kingdom,40224,8193769
125,10/10/2021,London,United Kingdom,34574,8154306
126,10/9/2021,London,United Kingdom,34950,8120713
127,10/8/2021,London,United Kingdom,41765,8087005
128,10/7/2021,London,United Kingdom,40701,8046390
129,10/6/2021,London,United Kingdom,39851,8006660
130,10/5/2021,London,United Kingdom,33869,7967985
131,10/4/2021,London,United Kingdom,35077,7934936
132,10/3/2021,London,United Kingdom,30439,7900680
133,10/2/2021,London,United Kingdom,30301,7871014
134,10/1/2021,London,United Kingdom,35577,7841625
135,9/30/2021,London,United Kingdom,36480,7807036
136,9/29/2021,London,United Kingdom,36722,7771294
137,9/28/2021,London,United Kingdom,34526,7736235
138,9/27/2021,London,United Kingdom,37960,7701715
139,9/26/2021,London,United Kingdom,32417,7664230
140,9/25/2021,London,United Kingdom,32468,7632353
141,9/24/2021,London,United Kingdom,35623,7601487
142,9/23/2021,London,United Kingdom,36710,7565867
143,9/22/2021,London,United Kingdom,34460,7530103
144,9/21/2021,London,United Kingdom,31564,7496543
145,9/20/2021,London,United Kingdom,36100,7465448
146,9/19/2021,London,United Kingdom,29612,7429746
147,9/18/2021,London,United Kingdom,30144,7400739
148,9/17/2021,London,United Kingdom,32651,7371301
149,9/16/2021,London,United Kingdom,26911,7339009
150,9/15/2021,London,United Kingdom,30597,7312683
151,9/14/2021,London,United Kingdom,26628,7282810
152,9/13/2021,London,United Kingdom,30825,7256559
153,9/12/2021,London,United Kingdom,29173,7226276
154,9/11/2021,London,United Kingdom,29547,7197662
155,9/10/2021,London,United Kingdom,37622,7168806
156,9/9/2021,London,United Kingdom,38013,7132072
157,9/8/2021,London,United Kingdom,38975,7094592
158,9/7/2021,London,United Kingdom,37489,7056106
159,9/6/2021,London,United Kingdom,41192,7018927
160,9/5/2021,London,United Kingdom,37011,6978126
161,9/4/2021,London,United Kingdom,37578,6941611
162,9/3/2021,London,United Kingdom,42076,6904969
163,9/2/2021,London,United Kingdom,38154,6862904
164,9/1/2021,London,United Kingdom,35693,6825074
165,8/31/2021,London,United Kingdom,32181,6789581
166,8/30/2021,London,United Kingdom,26476,6757650
167,8/29/2021,London,United Kingdom,33196,6731423
168,8/28/2021,London,United Kingdom,32406,6698486
169,8/27/2021,London,United Kingdom,38046,6666399
170,8/26/2021,London,United Kingdom,38281,6628709
171,8/25/2021,London,United Kingdom,35847,6590747
172,8/24/2021,London,United Kingdom,30838,6555200
173,8/23/2021,London,United Kingdom,31914,6524581
174,8/22/2021,London,United Kingdom,32253,6492906
175,8/21/2021,London,United Kingdom,32058,6460930
176,8/20/2021,London,United Kingdom,37314,6429147
177,8/19/2021,London,United Kingdom,36572,6392160
178,8/18/2021,London,United Kingdom,33904,6355887
179,8/17/2021,London,United Kingdom,26852,6322241
180,8/16/2021,London,United Kingdom,28438,6295613
181,8/15/2021,London,United Kingdom,26750,6267437
182,8/14/2021,London,United Kingdom,29520,6241011
183,8/13/2021,London,United Kingdom,32700,6211868
184,8/12/2021,London,United Kingdom,33074,6179506
185,8/11/2021,London,United Kingdom,29612,6146800
186,8/10/2021,London,United Kingdom,23510,6117540
187,8/9/2021,London,United Kingdom,25161,6094243
188,8/8/2021,London,United Kingdom,27429,6069362
189,8/7/2021,London,United Kingdom,28612,6042252
190,8/6/2021,London,United Kingdom,31808,6014023
191,8/5/2021,London,United Kingdom,30215,5982581
192,8/4/2021,London,United Kingdom,29312,5952756
193,8/3/2021,London,United Kingdom,21691,5923820
194,8/2/2021,London,United Kingdom,21952,5902354
195,8/1/2021,London,United Kingdom,24470,5880667
196,7/31/2021,London,United Kingdom,26144,5856528
197,7/30/2021,London,United Kingdom,29622,5830774
198,7/29/2021,London,United Kingdom,31117,5801561
199,7/28/2021,London,United Kingdom,27734,5770928
200,7/27/2021,London,United Kingdom,23511,5745526
201,7/26/2021,London,United Kingdom,24950,5722298
202,7/25/2021,London,United Kingdom,29173,5697912
203,7/24/2021,London,United Kingdom,31795,5669260
204,7/23/2021,London,United Kingdom,36389,5637975
205,7/22/2021,London,United Kingdom,39906,5602321
206,7/21/2021,London,United Kingdom,44104,5563006
207,7/20/2021,London,United Kingdom,46558,5519602
208,7/19/2021,London,United Kingdom,39950,5473477
209,7/18/2021,London,United Kingdom,48161,5433939
210,7/17/2021,London,United Kingdom,54674,5386340
211,7/16/2021,London,United Kingdom,51870,5332371
212,7/15/2021,London,United Kingdom,48553,5281098
213,7/14/2021,London,United Kingdom,42302,5233207
214,7/13/2021,London,United Kingdom,36660,5191459
215,7/12/2021,London,United Kingdom,34471,5155243
216,7/11/2021,London,United Kingdom,31772,5121245
217,7/10/2021,London,United Kingdom,32367,5089893
218,7/9/2021,London,United Kingdom,35707,5058093
219,7/8/2021,London,United Kingdom,32551,5022893
220,7/7/2021,London,United Kingdom,32548,4990916
221,7/6/2021,London,United Kingdom,28773,4958868
222,7/5/2021,London,United Kingdom,27334,4930534
223,7/4/2021,London,United Kingdom,24248,4903434
224,7/3/2021,London,United Kingdom,24885,4879616
225,7/2/2021,London,United Kingdom,27125,4855169
226,7/1/2021,London,United Kingdom,27989,4828463
227,6/30/2021,London,United Kingdom,26068,4800907
228,6/29/2021,London,United Kingdom,20479,4775301
229,6/28/2021,London,United Kingdom,22868,4755078
230,6/27/2021,London,United Kingdom,14876,4732434
231,6/26/2021,London,United Kingdom,18270,4717811
232,6/25/2021,London,United Kingdom,15810,4699868
233,6/24/2021,London,United Kingdom,16703,4684572
234,6/23/2021,London,United Kingdom,16135,4667870
235,6/22/2021,London,United Kingdom,11625,4651988
236,6/21/2021,London,United Kingdom,10633,4640507
237,6/20/2021,London,United Kingdom,9284,4630040
238,6/19/2021,London,United Kingdom,10321,4620968
239,6/18/2021,London,United Kingdom,10476,4610893
240,6/17/2021,London,United Kingdom,11007,4600623
241,6/16/2021,London,United Kingdom,9055,4589814
242,6/15/2021,London,United Kingdom,7673,4581006
243,6/14/2021,London,United Kingdom,7742,4573419
244,6/13/2021,London,United Kingdom,7490,4565813
245,6/12/2021,London,United Kingdom,7738,4558494
246,6/11/2021,London,United Kingdom,8125,4550944
247,6/10/2021,London,United Kingdom,7393,4542986
248,6/9/2021,London,United Kingdom,7540,4535754
249,6/8/2021,London,United Kingdom,6048,4528442
250,6/7/2021,London,United Kingdom,5683,4522476
251,6/6/2021,London,United Kingdom,5341,4516892
252,6/5/2021,London,United Kingdom,5765,4511669
253,6/4/2021,London,United Kingdom,6238,4506018
254,6/3/2021,London,United Kingdom,5274,4499878
255,6/2/2021,London,United Kingdom,4330,4494699
256,6/1/2021,London,United Kingdom,3165,4490438
257,5/31/2021,London,United Kingdom,3383,4487339
258,5/30/2021,London,United Kingdom,3240,4484056
259,5/29/2021,London,United Kingdom,3398,4480945
260,5/28/2021,London,United Kingdom,4182,4477705
261,5/27/2021,London,United Kingdom,3542,4473677
262,5/26/2021,London,United Kingdom,3180,4470297
263,5/25/2021,London,United Kingdom,2493,4467310
264,5/24/2021,London,United Kingdom,2439,4464900
265,5/23/2021,London,United Kingdom,2235,4462538
266,5/22/2021,London,United Kingdom,2694,4460446
267,5/21/2021,London,United Kingdom,2829,4457923
268,5/20/2021,London,United Kingdom,2874,4455221
269,5/19/2021,London,United Kingdom,2696,4452527
270,5/18/2021,London,United Kingdom,2412,4450392
271,5/17/2021,London,United Kingdom,1979,4452756
272,5/16/2021,London,United Kingdom,1926,4450777
273,5/15/2021,London,United Kingdom,2027,4448851
274,5/14/2021,London,United Kingdom,2193,4446824
275,5/13/2021,London,United Kingdom,2657,4444631
276,5/12/2021,London,United Kingdom,2284,4441975
277,5/11/2021,London,United Kingdom,2474,4439691
278,5/10/2021,London,United Kingdom,2357,4437217
279,5/9/2021,London,United Kingdom,1770,4434860
280,5/8/2021,London,United Kingdom,2047,4433090
281,5/7/2021,London,United Kingdom,2490,4431043
282,5/6/2021,London,United Kingdom,2613,4428553
283,5/5/2021,London,United Kingdom,2144,4425940
284,5/4/2021,London,United Kingdom,1946,4423796
285,5/3/2021,London,United Kingdom,1649,4421850
286,5/2/2021,London,United Kingdom,1671,4420201
287,5/1/2021,London,United Kingdom,1907,4418530
288,4/30/2021,London,United Kingdom,2381,4416623
289,4/29/2021,London,United Kingdom,2445,4414242
290,4/28/2021,London,United Kingdom,2166,4411797
291,4/27/2021,London,United Kingdom,2685,4409631
292,4/26/2021,London,United Kingdom,2064,4406946
293,4/25/2021,London,United Kingdom,1712,4404882
294,4/24/2021,London,United Kingdom,2061,4403170
295,4/23/2021,London,United Kingdom,2678,4401109
296,4/22/2021,London,United Kingdom,2729,4398431
297,4/21/2021,London,United Kingdom,2396,4395703
298,4/20/2021,London,United Kingdom,2524,4393307
299,4/19/2021,London,United Kingdom,2963,4390783
300,4/18/2021,London,United Kingdom,1882,4387820
301,4/17/2021,London,United Kingdom,2206,4385938
302,4/16/2021,London,United Kingdom,2596,4383732
303,4/15/2021,London,United Kingdom,2672,4380976
304,4/14/2021,London,United Kingdom,2491,4378305
305,4/13/2021,London,United Kingdom,2472,4375814
306,4/12/2021,London,United Kingdom,3568,4373343
307,4/11/2021,London,United Kingdom,1730,4369775
308,4/10/2021,London,United Kingdom,2589,4368045
309,4/9/2021,London,United Kingdom,3150,4365461
310,4/8/2021,London,United Kingdom,3030,4370321
311,4/7/2021,London,United Kingdom,2763,4367291
312,4/6/2021,London,United Kingdom,2379,4364529
313,4/5/2021,London,United Kingdom,2762,4362150
314,4/4/2021,London,United Kingdom,2297,4359388
315,4/3/2021,London,United Kingdom,3423,4357091
316,4/2/2021,London,United Kingdom,3402,4353668
317,4/1/2021,London,United Kingdom,4479,4350266
318,3/31/2021,London,United Kingdom,4052,4345788
319,3/30/2021,London,United Kingdom,4040,4341736
320,3/29/2021,London,United Kingdom,4654,4337696
321,3/28/2021,London,United Kingdom,3862,4333042
322,3/27/2021,London,United Kingdom,4715,4329180
323,3/26/2021,London,United Kingdom,6187,4325315
324,3/25/2021,London,United Kingdom,6397,4319128
325,3/24/2021,London,United Kingdom,5605,4312908
326,3/23/2021,London,United Kingdom,5379,4307304
327,3/22/2021,London,United Kingdom,5342,4301925
328,3/21/2021,London,United Kingdom,5312,4296583
329,3/20/2021,London,United Kingdom,5587,4291271
330,3/19/2021,London,United Kingdom,4802,4285684
331,3/18/2021,London,United Kingdom,6303,4280882
332,3/17/2021,London,United Kingdom,5758,4274579
333,3/16/2021,London,United Kingdom,5294,4268821
334,3/15/2021,London,United Kingdom,5089,4263527
335,3/14/2021,London,United Kingdom,4618,4258438
336,3/13/2021,London,United Kingdom,5534,4253820
337,3/12/2021,London,United Kingdom,6609,4248286
338,3/11/2021,London,United Kingdom,6753,4241677
339,3/10/2021,London,United Kingdom,5926,4234924
340,3/9/2021,London,United Kingdom,5766,4228998
341,3/8/2021,London,United Kingdom,4712,4223232
342,3/7/2021,London,United Kingdom,5177,4218520
343,3/6/2021,London,United Kingdom,6040,4213343
344,3/5/2021,London,United Kingdom,5947,4207304
345,3/4/2021,London,United Kingdom,6573,4201358
346,3/3/2021,London,United Kingdom,6385,4194785
347,3/2/2021,London,United Kingdom,6391,4188400
348,3/1/2021,London,United Kingdom,5455,4182009
349,2/28/2021,London,United Kingdom,6035,4176554
350,2/27/2021,London,United Kingdom,7434,4170519
351,2/26/2021,London,United Kingdom,8523,4163085
352,2/25/2021,London,United Kingdom,9985,4154562
353,2/24/2021,London,United Kingdom,9938,4144577
354,2/23/2021,London,United Kingdom,8489,4134639
355,2/22/2021,London,United Kingdom,10641,4126150
356,2/21/2021,London,United Kingdom,9834,4115509
357,2/20/2021,London,United Kingdom,10406,4105675
358,2/19/2021,London,United Kingdom,12027,4095269
359,2/18/2021,London,United Kingdom,12057,4083242
360,2/17/2021,London,United Kingdom,12718,4071185
361,2/16/2021,London,United Kingdom,10625,4058468
362,2/15/2021,London,United Kingdom,9765,4047843
363,2/14/2021,London,United Kingdom,10972,4038078
364,2/13/2021,London,United Kingdom,13308,4027106
365,2/12/2021,London,United Kingdom,15144,4013799
366,2/11/2021,London,United Kingdom,13494,3998655
367,2/10/2021,London,United Kingdom,13013,3985161
368,2/9/2021,London,United Kingdom,12364,3972148
369,2/8/2021,London,United Kingdom,14104,3959784
370,2/7/2021,London,United Kingdom,15845,3945680
371,2/6/2021,London,United Kingdom,18262,3929835
372,2/5/2021,London,United Kingdom,19114,3911573
373,2/4/2021,London,United Kingdom,20634,3892459
374,2/3/2021,London,United Kingdom,19202,3871825
375,2/2/2021,London,United Kingdom,16840,3852623
376,2/1/2021,London,United Kingdom,18607,3835783
377,1/31/2021,London,United Kingdom,21088,3817176
378,1/30/2021,London,United Kingdom,23275,3796088
379,1/29/2021,London,United Kingdom,29079,3772813
380,1/28/2021,London,United Kingdom,28680,3743734
381,1/27/2021,London,United Kingdom,25308,3715054
382,1/26/2021,London,United Kingdom,20089,3689746
383,1/25/2021,London,United Kingdom,22195,3669658
384,1/24/2021,London,United Kingdom,30004,3647463
385,1/23/2021,London,United Kingdom,33552,3617459
386,1/22/2021,London,United Kingdom,40261,3583907
387,1/21/2021,London,United Kingdom,37892,3543646
388,1/20/2021,London,United Kingdom,38905,3505754
389,1/19/2021,London,United Kingdom,33355,3466849
390,1/18/2021,London,United Kingdom,37535,3433494
391,1/17/2021,London,United Kingdom,38598,3395959
392,1/16/2021,London,United Kingdom,41346,3357361
393,1/15/2021,London,United Kingdom,55761,3316019
394,1/14/2021,London,United Kingdom,48682,3260258
395,1/13/2021,London,United Kingdom,47525,3211576
396,1/12/2021,London,United Kingdom,45533,3164051
397,1/11/2021,London,United Kingdom,46169,3118518
398,1/10/2021,London,United Kingdom,54940,3072349
399,1/9/2021,London,United Kingdom,59937,3017409
400,1/8/2021,London,United Kingdom,68053,2957472
401,1/7/2021,London,United Kingdom,52618,2889419
402,1/6/2021,London,United Kingdom,62322,2836801
403,1/5/2021,London,United Kingdom,60916,2774479
404,1/4/2021,London,United Kingdom,58784,2713563
405,1/3/2021,London,United Kingdom,54990,2654779
406,1/2/2021,London,United Kingdom,57725,2599789
407,1/1/2021,London,United Kingdom,53285,2542065
408,12/31/2020,London,United Kingdom,55892,2488780
409,12/30/2020,London,United Kingdom,50023,2432888
410,12/29/2020,London,United Kingdom,53135,2382865
411,12/28/2020,London,United Kingdom,41385,2329730
412,12/27/2020,London,United Kingdom,30501,2288345
413,12/26/2020,London,United Kingdom,35691,2257844
414,12/25/2020,London,United Kingdom,32725,2222153
415,12/24/2020,London,United Kingdom,39877,2189428
416,12/23/2020,London,United Kingdom,39237,2149551
417,12/22/2020,London,United Kingdom,36804,2110314
418,12/21/2020,London,United Kingdom,33364,2073511
419,12/20/2020,London,United Kingdom,35928,2040147
420,12/19/2020,London,United Kingdom,27052,2004219
421,12/18/2020,London,United Kingdom,28507,1977167
422,12/17/2020,London,United Kingdom,35383,1948660
423,12/16/2020,London,United Kingdom,25161,1913277
424,12/15/2020,London,United Kingdom,18450,1888116
425,12/14/2020,London,United Kingdom,20263,1869666
426,12/13/2020,London,United Kingdom,18447,1849403
427,12/12/2020,London,United Kingdom,21502,1830956
428,12/11/2020,London,United Kingdom,21672,1809455
429,12/10/2020,London,United Kingdom,20964,1787783
430,12/9/2020,London,United Kingdom,16578,1766819
431,12/8/2020,London,United Kingdom,12282,1750241
432,12/7/2020,London,United Kingdom,14718,1737960
433,12/6/2020,London,United Kingdom,17272,1723242
434,12/5/2020,London,United Kingdom,15539,1705971
435,12/4/2020,London,United Kingdom,16298,1690432
436,12/3/2020,London,United Kingdom,14879,1674134
437,12/2/2020,London,United Kingdom,16170,1659256
438,12/1/2020,London,United Kingdom,13430,1643086
439,11/30/2020,London,United Kingdom,12330,1629657
440,11/29/2020,London,United Kingdom,12155,1617327
441,11/28/2020,London,United Kingdom,15871,1605172
442,11/27/2020,London,United Kingdom,16022,1589301
443,11/26/2020,London,United Kingdom,17555,1574562
444,11/25/2020,London,United Kingdom,18213,1557007
445,11/24/2020,London,United Kingdom,11299,1538794
446,11/23/2020,London,United Kingdom,15450,1527495
447,11/22/2020,London,United Kingdom,18662,1512045
448,11/21/2020,London,United Kingdom,19875,1493383
449,11/20/2020,London,United Kingdom,20252,1473508
450,11/19/2020,London,United Kingdom,22915,1453256
451,11/18/2020,London,United Kingdom,19609,1430341
452,11/17/2020,London,United Kingdom,20051,1410732
453,11/16/2020,London,United Kingdom,21363,1390681
454,11/15/2020,London,United Kingdom,24962,1369318
455,11/14/2020,London,United Kingdom,26860,1344356
456,11/13/2020,London,United Kingdom,27301,1317496
457,11/12/2020,London,United Kingdom,33470,1290195
458,11/11/2020,London,United Kingdom,22950,1256725
459,11/10/2020,London,United Kingdom,20412,1233775
460,11/9/2020,London,United Kingdom,21350,1213363
461,11/8/2020,London,United Kingdom,20572,1192013
462,11/7/2020,London,United Kingdom,24957,1171441
463,11/6/2020,London,United Kingdom,23287,1146484
464,11/5/2020,London,United Kingdom,24141,1123197
465,11/4/2020,London,United Kingdom,25177,1099059
466,11/3/2020,London,United Kingdom,20018,1073882
467,11/2/2020,London,United Kingdom,18950,1053864
468,11/1/2020,London,United Kingdom,23254,1034914
469,10/31/2020,London,United Kingdom,21915,1011660
470,10/30/2020,London,United Kingdom,24405,989745
471,10/29/2020,London,United Kingdom,23065,965340
472,10/28/2020,London,United Kingdom,24701,942275
473,10/27/2020,London,United Kingdom,22885,917575
474,10/26/2020,London,United Kingdom,20890,894690
475,10/25/2020,London,United Kingdom,19790,873800
476,10/24/2020,London,United Kingdom,23012,854010
477,10/23/2020,London,United Kingdom,20530,830998
478,10/22/2020,London,United Kingdom,21242,810467
479,10/21/2020,London,United Kingdom,26688,789229
480,10/20/2020,London,United Kingdom,21331,762542
481,10/19/2020,London,United Kingdom,18804,741212
482,10/18/2020,London,United Kingdom,16982,722409
483,10/17/2020,London,United Kingdom,16171,705428
484,10/16/2020,London,United Kingdom,15650,689257
485,10/15/2020,London,United Kingdom,18980,673622
486,10/14/2020,London,United Kingdom,19724,654644
487,10/13/2020,London,United Kingdom,17234,634920
488,10/12/2020,London,United Kingdom,13972,617688
489,10/11/2020,London,United Kingdom,12872,603716
490,10/10/2020,London,United Kingdom,15166,590844
491,10/9/2020,London,United Kingdom,13864,575679
492,10/8/2020,London,United Kingdom,17540,561815
493,10/7/2020,London,United Kingdom,14162,544275
494,10/6/2020,London,United Kingdom,14542,530113
495,10/5/2020,London,United Kingdom,12594,515571
496,10/4/2020,London,United Kingdom,22961,502978
497,10/3/2020,London,United Kingdom,12872,480017
498,10/2/2020,London,United Kingdom,6968,467146
499,10/1/2020,London,United Kingdom,6914,460178
500,9/30/2020,London,United Kingdom,7108,453264
501,9/29/2020,London,United Kingdom,7143,446156
502,9/28/2020,London,United Kingdom,4044,439013
503,9/27/2020,London,United Kingdom,5693,434969
504,9/26/2020,London,United Kingdom,6042,429277
505,9/25/2020,London,United Kingdom,6874,423236
506,9/24/2020,London,United Kingdom,6634,416363
507,9/23/2020,London,United Kingdom,6178,409729
508,9/22/2020,London,United Kingdom,4926,403551
509,9/21/2020,London,United Kingdom,4368,398625
510,9/20/2020,London,United Kingdom,3899,394257
511,9/19/2020,London,United Kingdom,4422,390358
512,9/18/2020,London,United Kingdom,4322,385936
513,9/17/2020,London,United Kingdom,3395,381614
514,9/16/2020,London,United Kingdom,3991,378219
515,9/15/2020,London,United Kingdom,3105,374228
516,9/14/2020,London,United Kingdom,2621,371125
517,9/13/2020,London,United Kingdom,3330,368504
518,9/12/2020,London,United Kingdom,3497,365174
519,9/11/2020,London,United Kingdom,3539,361677
520,9/10/2020,London,United Kingdom,2919,358138
521,9/9/2020,London,United Kingdom,2659,355219
522,9/8/2020,London,United Kingdom,2460,352560
523,9/7/2020,London,United Kingdom,2948,350100
524,9/6/2020,London,United Kingdom,2988,347152
525,9/5/2020,London,United Kingdom,1813,344164
526,9/4/2020,London,United Kingdom,1940,342351
527,9/3/2020,London,United Kingdom,1735,340411
528,9/2/2020,London,United Kingdom,1508,338676
529,9/1/2020,London,United Kingdom,1295,337168
530,8/31/2020,London,United Kingdom,1406,335873
531,8/30/2020,London,United Kingdom,1715,334467
532,8/29/2020,London,United Kingdom,1108,332752
533,8/28/2020,London,United Kingdom,1276,331644
534,8/27/2020,London,United Kingdom,1522,330368
535,8/26/2020,London,United Kingdom,1048,328846
536,8/25/2020,London,United Kingdom,1184,327798
537,8/24/2020,London,United Kingdom,853,326614
538,8/23/2020,London,United Kingdom,1160,325761
539,8/22/2020,London,United Kingdom,1288,324601
540,8/21/2020,London,United Kingdom,1033,323313
541,8/20/2020,London,United Kingdom,1182,322280
542,8/19/2020,London,United Kingdom,812,321098
543,8/18/2020,London,United Kingdom,1089,320286
544,8/17/2020,London,United Kingdom,713,319197
545,8/16/2020,London,United Kingdom,1040,318484
546,8/15/2020,London,United Kingdom,1077,317444
547,8/14/2020,London,United Kingdom,1441,316367
548,8/13/2020,London,United Kingdom,1129,314927
549,8/12/2020,London,United Kingdom,1009,313798
550,8/11/2020,London,United Kingdom,1148,312789
551,8/10/2020,London,United Kingdom,740,311641
552,8/9/2020,London,United Kingdom,1062,310825
553,8/8/2020,London,United Kingdom,758,309763
554,8/7/2020,London,United Kingdom,871,309005
555,8/6/2020,London,United Kingdom,950,308134
556,8/5/2020,London,United Kingdom,892,307184
557,8/4/2020,London,United Kingdom,670,306293
558,8/3/2020,London,United Kingdom,898,305623
559,8/2/2020,London,United Kingdom,744,304685
560,8/1/2020,London,United Kingdom,761,303942
561,7/31/2020,London,United Kingdom,880,303181
