,Unnamed: 0,Unnamed: 0.1,url,schedule,venue,teamA,teamB,teamA_score,teamB_score,winner_Team,winner_score,venue_location,winner_location
57,57,57,https://www.skysports.com/football/leicester-city-vs-newcastle-united/446444,"2:00pm, Sunday 12th December 2021.",The King Power Stadium,Leicester,Newcastle,4,0,Leicester,4,"Filbert Way
Leicester
LE2 7FL",
58,58,58,https://www.skysports.com/football/crystal-palace-vs-everton/446443,"4:30pm, Sunday 12th December 2021.",Selhurst Park,C Palace,Everton,3,1,C Palace,3,"Selhurst
London, SE25
England","Selhurst
London, SE25
England"
59,59,59,https://www.skysports.com/football/manchester-city-vs-wolverhampton-wanderers/446446,"12:30pm, Saturday 11th December 2021.",Etihad Stadium,Man City,Wolves,1,0,Man City,1,"Etihad Campus
Manchester
M11 3FF","Etihad Campus
Manchester
M11 3FF"
60,60,60,https://www.skysports.com/football/arsenal-vs-southampton/446438,"3:00pm, Saturday 11th December 2021.",Emirates Stadium,Arsenal,So'ton,3,0,Arsenal,3,"Highbury House,
75 Drayton Park,
London, N5 1BU
England[1]","Highbury House,
75 Drayton Park,
London, N5 1BU
England[1]"
61,61,61,https://www.skysports.com/football/chelsea-vs-leeds-united/446442,"3:00pm, Saturday 11th December 2021.",Stamford Bridge,Chelsea,Leeds,3,2,Chelsea,3,"Fulham,
London, SW6
England","Fulham,
London, SW6
England"
62,62,62,https://www.skysports.com/football/liverpool-vs-aston-villa/446445,"3:00pm, Saturday 11th December 2021.",Anfield,Liverpool,A Villa,1,0,Liverpool,1,"Anfield, Liverpool, Merseyside, England","Anfield, Liverpool, Merseyside, England"
63,63,63,https://www.skysports.com/football/norwich-city-vs-manchester-united/446447,"5:30pm, Saturday 11th December 2021.",Carrow Road,Norwich,Man Utd,0,1,Man Utd,1,"Norwich, Norfolk, England","Sir Matt Busby Way
Old Trafford
Trafford
Greater Manchester
England"
64,64,64,https://www.skysports.com/football/brentford-vs-watford/446439,"8:00pm, Friday 10th December 2021.",Brentford Community Stadium,Brentford,Watford,2,1,Brentford,2,"166 Lionel Road North, Brentford, London Borough of Hounslow, England, UK","166 Lionel Road North, Brentford, London Borough of Hounslow, England, UK"
65,65,65,https://www.skysports.com/football/everton-vs-arsenal/446429,"8:00pm, Monday 6th December 2021.",Goodison Park,Everton,Arsenal,2,1,Everton,2,"Goodison Road
Walton, Liverpool, England","Goodison Road
Walton, Liverpool, England"
66,66,66,https://www.skysports.com/football/leeds-united-vs-brentford/446430,"2:00pm, Sunday 5th December 2021.",Elland Road,Leeds,Brentford,2,2,Brentford,2,"Elland Road, Beeston, Leeds, England LS11 0ES","166 Lionel Road North, Brentford, London Borough of Hounslow, England, UK"
67,67,67,https://www.skysports.com/football/manchester-united-vs-crystal-palace/446431,"2:00pm, Sunday 5th December 2021.",Old Trafford,Man Utd,C Palace,1,0,Man Utd,1,"Sir Matt Busby Way
Old Trafford
Trafford
Greater Manchester
England","Sir Matt Busby Way
Old Trafford
Trafford
Greater Manchester
England"
68,68,68,https://www.skysports.com/football/tottenham-hotspur-vs-norwich-city/446434,"2:00pm, Sunday 5th December 2021.",Tottenham Hotspur Stadium,Tottenham,Norwich,3,0,Tottenham,3,"Tottenham,
London, N17","Tottenham,
London, N17"
69,69,69,https://www.skysports.com/football/aston-villa-vs-leicester-city/446428,"4:30pm, Sunday 5th December 2021.",Villa Park,A Villa,Leicester,2,1,A Villa,2,"Trinity Road, Birmingham B6 6HE","Trinity Road, Birmingham B6 6HE"
70,70,70,https://www.skysports.com/football/west-ham-united-vs-chelsea/446436,"12:30pm, Saturday 4th December 2021.",London Stadium,West Ham,Chelsea,3,2,West Ham,3,"Queen Elizabeth Olympic Park, Stratford
London, E20","Queen Elizabeth Olympic Park, Stratford
London, E20"
71,71,71,https://www.skysports.com/football/newcastle-united-vs-burnley/446432,"3:00pm, Saturday 4th December 2021.","St James' Park, Newcastle",Newcastle,Burnley,1,0,Newcastle,1,Newcastle upon Tyne NE1 4ST,Newcastle upon Tyne NE1 4ST
72,72,72,https://www.skysports.com/football/southampton-vs-brighton-and-hove-albion/446433,"3:00pm, Saturday 4th December 2021.",St. Mary's Stadium,So'ton,Brighton,1,1,Brighton,1,"Britannia Rd, Southampton, England","Falmer, Brighton, East Sussex, England"
73,73,73,https://www.skysports.com/football/wolverhampton-wanderers-vs-liverpool/446437,"3:00pm, Saturday 4th December 2021.",Molineux,Wolves,Liverpool,0,1,Liverpool,1,"Waterloo Road, Wolverhampton","Anfield, Liverpool, Merseyside, England"
74,74,74,https://www.skysports.com/football/watford-vs-manchester-city/446435,"5:30pm, Saturday 4th December 2021.",Vicarage Road,Watford,Man City,1,3,Man City,3,"Vicarage Road
Watford
WD18 0ER","Etihad Campus
Manchester
M11 3FF"
75,75,75,https://www.skysports.com/football/tottenham-hotspur-vs-brentford/446427,"7:30pm, Thursday 2nd December 2021.",Tottenham Hotspur Stadium,Tottenham,Brentford,2,0,Tottenham,2,"Tottenham,
London, N17","Tottenham,
London, N17"
76,76,76,https://www.skysports.com/football/manchester-united-vs-arsenal/446421,"8:15pm, Thursday 2nd December 2021.",Old Trafford,Man Utd,Arsenal,3,2,Man Utd,3,"Sir Matt Busby Way
Old Trafford
Trafford
Greater Manchester
England","Sir Matt Busby Way
Old Trafford
Trafford
Greater Manchester
England"
77,77,77,https://www.skysports.com/football/southampton-vs-leicester-city/446426,"7:30pm, Wednesday 1st December 2021.",St. Mary's Stadium,So'ton,Leicester,2,2,Leicester,2,"Britannia Rd, Southampton, England",
78,78,78,https://www.skysports.com/football/watford-vs-chelsea/446422,"7:30pm, Wednesday 1st December 2021.",Vicarage Road,Watford,Chelsea,1,2,Chelsea,2,"Vicarage Road
Watford
WD18 0ER","Fulham,
London, SW6
England"
79,79,79,https://www.skysports.com/football/west-ham-united-vs-brighton-and-hove-albion/446423,"7:30pm, Wednesday 1st December 2021.",London Stadium,West Ham,Brighton,1,1,Brighton,1,"Queen Elizabeth Olympic Park, Stratford
London, E20","Falmer, Brighton, East Sussex, England"
80,80,80,https://www.skysports.com/football/wolverhampton-wanderers-vs-burnley/446424,"7:30pm, Wednesday 1st December 2021.",Molineux,Wolves,Burnley,0,0,Burnley,0,"Waterloo Road, Wolverhampton","Burnley, Lancashire, England"
81,81,81,https://www.skysports.com/football/aston-villa-vs-manchester-city/446418,"8:15pm, Wednesday 1st December 2021.",Villa Park,A Villa,Man City,1,2,Man City,2,"Trinity Road, Birmingham B6 6HE","Etihad Campus
Manchester
M11 3FF"
82,82,82,https://www.skysports.com/football/everton-vs-liverpool/446419,"8:15pm, Wednesday 1st December 2021.",Goodison Park,Everton,Liverpool,1,4,Liverpool,4,"Goodison Road
Walton, Liverpool, England","Anfield, Liverpool, Merseyside, England"
83,83,83,https://www.skysports.com/football/newcastle-united-vs-norwich-city/446425,"7:30pm, Tuesday 30th November 2021.","St James' Park, Newcastle",Newcastle,Norwich,1,1,Norwich,1,Newcastle upon Tyne NE1 4ST,"Norwich, Norfolk, England"
84,84,84,https://www.skysports.com/football/leeds-united-vs-crystal-palace/446420,"8:15pm, Tuesday 30th November 2021.",Elland Road,Leeds,C Palace,1,0,Leeds,1,"Elland Road, Beeston, Leeds, England LS11 0ES","Elland Road, Beeston, Leeds, England LS11 0ES"
85,85,85,https://www.skysports.com/football/brentford-vs-everton/446409,"2:00pm, Sunday 28th November 2021.",Brentford Community Stadium,Brentford,Everton,1,0,Brentford,1,"166 Lionel Road North, Brentford, London Borough of Hounslow, England, UK","166 Lionel Road North, Brentford, London Borough of Hounslow, England, UK"
86,86,86,https://www.skysports.com/football/leicester-city-vs-watford/446414,"2:00pm, Sunday 28th November 2021.",The King Power Stadium,Leicester,Watford,4,2,Leicester,4,"Filbert Way
Leicester
LE2 7FL",
87,87,87,https://www.skysports.com/football/manchester-city-vs-west-ham-united/446416,"2:00pm, Sunday 28th November 2021.",Etihad Stadium,Man City,West Ham,2,1,Man City,2,"Etihad Campus
Manchester
M11 3FF","Etihad Campus
Manchester
M11 3FF"
88,88,88,https://www.skysports.com/football/chelsea-vs-manchester-united/446412,"4:30pm, Sunday 28th November 2021.",Stamford Bridge,Chelsea,Man Utd,1,1,Man Utd,1,"Fulham,
London, SW6
England","Sir Matt Busby Way
Old Trafford
Trafford
Greater Manchester
England"
