,date,time,teamA,teamB,teamA_score,teamB_score,winner_Team,winner_score,venue_location,venue,venue_city,venue_state,venue_country,winner_location
141,02/07/2021,02:30,Austin FC,Portland Timbers,4.0,1.0,Austin FC,4.0,"Q2 Stadium, Austin, TX (USA)",Q2 Stadium, Austin, TX ,USA,Q2 Stadium
142,03/07/2021,22:00,Columbus Crew,New England Revolution,2.0,2.0,,,"Lower.com Field, Columbus, OH (USA)",Lower.com Field, Columbus, OH ,USA,
143,03/07/2021,22:30,D.C. United,Toronto FC,7.0,1.0,D.C. United,7.0,"Audi Field, Washington, D.C. (USA)",Audi Field, Washington, D.C. ,USA,Audi Field
144,04/07/2021,00:30,CF Montréal,Inter Miami CF,1.0,0.0,CF Montréal,1.0,"Red Bull Arena, Harrison, NJ (USA)",Red Bull Arena, Harrison, NJ ,USA,Stade Saputo
145,04/07/2021,00:30,Orlando City,New York RB,1.0,2.0,New York RB,2.0,"Exploria Stadium, Orlando, FL (USA)",Exploria Stadium, Orlando, FL ,USA,Red Bull Arena
146,04/07/2021,01:00,Chicago Fire,Atlanta United FC,3.0,0.0,Chicago Fire,3.0,"Soldier Field, Chicago, IL (USA)",Soldier Field, Chicago, IL ,USA,Soldier Field
147,04/07/2021,01:00,Minnesota United FC,San Jose Earthquakes,2.0,2.0,,,"Allianz Field, Saint Paul, MN (USA)",Allianz Field, Saint Paul, MN ,USA,
148,04/07/2021,01:00,Nashville SC,Philadelphia Union,1.0,0.0,Nashville SC,1.0,"Nissan Stadium, Nashville, TN (USA)",Nissan Stadium, Nashville, TN ,USA,Fairgrounds Stadium
149,04/07/2021,01:30,Houston Dynamo,FC Cincinnati,1.0,1.0,,,"PNC Stadium, Houston, TX (USA)",PNC Stadium, Houston, TX ,USA,
150,04/07/2021,03:00,Real Salt Lake,Los Angeles FC,0.0,1.0,Los Angeles FC,1.0,"Rio Tinto Stadium, Sandy, UT (USA)",Rio Tinto Stadium, Sandy, UT ,USA,Banc of California Stadium
151,05/07/2021,01:30,FC Dallas,Vancouver Whitecaps,2.0,2.0,,,"Toyota Stadium, Frisco, TX (USA)",Toyota Stadium, Frisco, TX ,USA,
152,05/07/2021,02:00,Colorado Rapids,Seattle Sounders,1.0,1.0,,,"Dick's Sporting Goods Park, Commerce City, CO (USA)",Dick's Sporting Goods Park, Commerce City, CO ,USA,
153,05/07/2021,03:30,Los Angeles Galaxy,Sporting Kansas City,0.0,2.0,Sporting Kansas City,2.0,"Dignity Health Sports Park, Carson, CA (USA)",Dignity Health Sports Park, Carson, CA ,USA,Children's Mercy Park
154,08/07/2021,00:00,New England Revolution,Toronto FC,2.0,3.0,Toronto FC,3.0,"Gillette Stadium, Foxborough, MA (USA)",Gillette Stadium, Foxborough, MA ,USA,BMO Field
155,08/07/2021,00:30,CF Montréal,New York City FC,2.0,1.0,CF Montréal,2.0,"Exploria Stadium, Orlando, FL (USA)",Exploria Stadium, Orlando, FL ,USA,Stade Saputo
156,08/07/2021,01:00,Chicago Fire,Orlando City,3.0,1.0,Chicago Fire,3.0,"Soldier Field, Chicago, IL (USA)",Soldier Field, Chicago, IL ,USA,Soldier Field
157,08/07/2021,02:00,Austin FC,Los Angeles FC,0.0,2.0,Los Angeles FC,2.0,"Q2 Stadium, Austin, TX (USA)",Q2 Stadium, Austin, TX ,USA,Banc of California Stadium
158,08/07/2021,02:00,Colorado Rapids,Minnesota United FC,2.0,0.0,Colorado Rapids,2.0,"Dick's Sporting Goods Park, Commerce City, CO (USA)",Dick's Sporting Goods Park, Commerce City, CO ,USA,Dick's Sporting Goods Park
159,08/07/2021,02:00,Seattle Sounders,Houston Dynamo,2.0,0.0,Seattle Sounders,2.0,"Lumen Field, Seattle, WA (USA)",Lumen Field, Seattle, WA ,USA,Lumen Field
160,08/07/2021,03:00,Vancouver Whitecaps,Real Salt Lake,0.0,4.0,Real Salt Lake,4.0,"Rio Tinto Stadium, Sandy, UT (USA)",Rio Tinto Stadium, Sandy, UT ,USA,Rio Tinto Stadium
161,08/07/2021,03:30,Los Angeles Galaxy,FC Dallas,3.0,1.0,Los Angeles Galaxy,3.0,"Dignity Health Sports Park, Carson, CA (USA)",Dignity Health Sports Park, Carson, CA ,USA,Dignity Health Sports Park
162,09/07/2021,01:00,New York RB,Philadelphia Union,1.0,1.0,,,"Red Bull Arena, Harrison, NJ (USA)",Red Bull Arena, Harrison, NJ ,USA,
163,09/07/2021,01:30,Nashville SC,Atlanta United FC,2.0,2.0,,,"Nissan Stadium, Nashville, TN (USA)",Nissan Stadium, Nashville, TN ,USA,
164,10/07/2021,00:30,FC Cincinnati,Columbus Crew,2.0,2.0,,,"TQL Stadium, Cincinnati, OH (USA)",TQL Stadium, Cincinnati, OH ,USA,
165,17/07/2021,22:00,Atlanta United FC,New England Revolution,0.0,1.0,New England Revolution,1.0,"Mercedes-Benz Stadium, Atlanta, GA (USA)",Mercedes-Benz Stadium, Atlanta, GA ,USA,Gillette Stadium
166,18/07/2021,00:30,CF Montréal,FC Cincinnati,5.0,4.0,CF Montréal,5.0,"Stade Saputo, Montréal, QC (Canada)",Stade Saputo, Montréal, QC ,Canada,Stade Saputo
167,18/07/2021,00:30,Columbus Crew,New York City FC,2.0,1.0,Columbus Crew,2.0,"Lower.com Field, Columbus, OH (USA)",Lower.com Field, Columbus, OH ,USA,Lower.com Field
168,18/07/2021,00:30,Philadelphia Union,D.C. United,2.0,1.0,Philadelphia Union,2.0,"Subaru Park, Chester, PA (USA)",Subaru Park, Chester, PA ,USA,Subaru Park
169,18/07/2021,00:30,Toronto FC,Orlando City,1.0,1.0,,,"BMO Field, Toronto, ON (Canada)",BMO Field, Toronto, ON ,Canada,
170,18/07/2021,01:30,Nashville SC,Chicago Fire,5.0,1.0,Nashville SC,5.0,"Nissan Stadium, Nashville, TN (USA)",Nissan Stadium, Nashville, TN ,USA,Fairgrounds Stadium
171,18/07/2021,02:00,Colorado Rapids,San Jose Earthquakes,1.0,1.0,,,"Dick's Sporting Goods Park, Commerce City, CO (USA)",Dick's Sporting Goods Park, Commerce City, CO ,USA,
172,18/07/2021,03:00,Vancouver Whitecaps,Los Angeles Galaxy,2.0,1.0,Vancouver Whitecaps,2.0,"Rio Tinto Stadium, Sandy, UT (USA)",Rio Tinto Stadium, Sandy, UT ,USA,BC Place
173,18/07/2021,03:30,Los Angeles FC,Real Salt Lake,2.0,1.0,Los Angeles FC,2.0,"Banc of California Stadium, Los Angeles, CA (USA)",Banc of California Stadium, Los Angeles, CA ,USA,Banc of California Stadium
174,18/07/2021,03:30,Portland Timbers,FC Dallas,1.0,0.0,Portland Timbers,1.0,"Providence Park, Portland, OR (USA)",Providence Park, Portland, OR ,USA,Providence Park
175,18/07/2021,19:00,Minnesota United FC,Seattle Sounders,1.0,0.0,Minnesota United FC,1.0,"Allianz Field, Saint Paul, MN (USA)",Allianz Field, Saint Paul, MN ,USA,Allianz Field
176,21/07/2021,03:00,Vancouver Whitecaps,Houston Dynamo,0.0,0.0,,,"Rio Tinto Stadium, Sandy, UT (USA)",Rio Tinto Stadium, Sandy, UT ,USA,
177,22/07/2021,00:30,Inter Miami CF,New England Revolution,0.0,5.0,New England Revolution,5.0,"DRV PNK Stadium, Fort Lauderdale, FL (USA)",DRV PNK Stadium, Fort Lauderdale, FL ,USA,Gillette Stadium
178,22/07/2021,00:30,Columbus Crew,Nashville SC,0.0,0.0,,,"Lower.com Field, Columbus, OH (USA)",Lower.com Field, Columbus, OH ,USA,
179,22/07/2021,00:30,Toronto FC,New York RB,1.0,1.0,,,"BMO Field, Toronto, ON (Canada)",BMO Field, Toronto, ON ,Canada,
180,22/07/2021,00:30,New York City FC,CF Montréal,1.0,0.0,New York City FC,1.0,"Red Bull Arena, Harrison, NJ (USA)",Red Bull Arena, Harrison, NJ ,USA,Yankee Stadium
181,22/07/2021,01:00,FC Cincinnati,Atlanta United FC,1.0,1.0,,,"TQL Stadium, Cincinnati, OH (USA)",TQL Stadium, Cincinnati, OH ,USA,
182,22/07/2021,01:00,Chicago Fire,D.C. United,2.0,2.0,,,"Soldier Field, Chicago, IL (USA)",Soldier Field, Chicago, IL ,USA,
183,22/07/2021,01:30,Sporting Kansas City,San Jose Earthquakes,1.0,1.0,,,"Children's Mercy Park, Kansas City, KS (USA)",Children's Mercy Park, Kansas City, KS ,USA,
184,22/07/2021,02:00,Colorado Rapids,FC Dallas,2.0,0.0,Colorado Rapids,2.0,"Dick's Sporting Goods Park, Commerce City, CO (USA)",Dick's Sporting Goods Park, Commerce City, CO ,USA,Dick's Sporting Goods Park
185,22/07/2021,03:00,Real Salt Lake,Los Angeles Galaxy,2.0,2.0,,,"Rio Tinto Stadium, Sandy, UT (USA)",Rio Tinto Stadium, Sandy, UT ,USA,
186,22/07/2021,03:30,Portland Timbers,Los Angeles FC,2.0,1.0,Portland Timbers,2.0,"Providence Park, Portland, OR (USA)",Providence Park, Portland, OR ,USA,Providence Park
187,23/07/2021,01:25,Orlando City,Philadelphia Union,2.0,1.0,Orlando City,2.0,"Exploria Stadium, Orlando, FL (USA)",Exploria Stadium, Orlando, FL ,USA,Exploria Stadium
188,23/07/2021,02:30,Austin FC,Seattle Sounders,0.0,1.0,Seattle Sounders,1.0,"Q2 Stadium, Austin, TX (USA)",Q2 Stadium, Austin, TX ,USA,Lumen Field
189,24/07/2021,20:30,Atlanta United FC,Columbus Crew,0.0,1.0,Columbus Crew,1.0,"Mercedes-Benz Stadium, Atlanta, GA (USA)",Mercedes-Benz Stadium, Atlanta, GA ,USA,Lower.com Field
190,25/07/2021,01:00,Chicago Fire,Toronto FC,1.0,2.0,Toronto FC,2.0,"Soldier Field, Chicago, IL (USA)",Soldier Field, Chicago, IL ,USA,BMO Field
191,25/07/2021,01:00,Minnesota United FC,Portland Timbers,2.0,1.0,Minnesota United FC,2.0,"Allianz Field, Saint Paul, MN (USA)",Allianz Field, Saint Paul, MN ,USA,Allianz Field
192,25/07/2021,01:30,FC Dallas,Los Angeles Galaxy,4.0,0.0,FC Dallas,4.0,"Toyota Stadium, Frisco, TX (USA)",Toyota Stadium, Frisco, TX ,USA,Toyota Stadium
193,25/07/2021,01:30,Nashville SC,FC Cincinnati,3.0,0.0,Nashville SC,3.0,"Nissan Stadium, Nashville, TN (USA)",Nissan Stadium, Nashville, TN ,USA,Fairgrounds Stadium
194,25/07/2021,03:00,Real Salt Lake,Colorado Rapids,3.0,0.0,Real Salt Lake,3.0,"Rio Tinto Stadium, Sandy, UT (USA)",Rio Tinto Stadium, Sandy, UT ,USA,Rio Tinto Stadium
195,25/07/2021,03:00,San Jose Earthquakes,Houston Dynamo,1.0,1.0,,,"Earthquakes Stadium, San Jose, CA (USA)",Earthquakes Stadium, San Jose, CA ,USA,
196,25/07/2021,03:30,Los Angeles FC,Vancouver Whitecaps,2.0,2.0,,,"Banc of California Stadium, Los Angeles, CA (USA)",Banc of California Stadium, Los Angeles, CA ,USA,
197,25/07/2021,23:00,New England Revolution,CF Montréal,2.0,1.0,New England Revolution,2.0,"Gillette Stadium, Foxborough, MA (USA)",Gillette Stadium, Foxborough, MA ,USA,Gillette Stadium
198,25/07/2021,23:00,New York City FC,Orlando City,5.0,0.0,New York City FC,5.0,"Yankee Stadium, New York City, NY (USA)",Yankee Stadium, New York City, NY ,USA,Yankee Stadium
199,26/07/2021,00:30,Inter Miami CF,Philadelphia Union,1.0,1.0,,,"DRV PNK Stadium, Fort Lauderdale, FL (USA)",DRV PNK Stadium, Fort Lauderdale, FL ,USA,
200,26/07/2021,01:00,D.C. United,New York RB,1.0,0.0,D.C. United,1.0,"Audi Field, Washington, D.C. (USA)",Audi Field, Washington, D.C. ,USA,Audi Field
201,26/07/2021,02:00,Seattle Sounders,Sporting Kansas City,1.0,3.0,Sporting Kansas City,3.0,"Lumen Field, Seattle, WA (USA)",Lumen Field, Seattle, WA ,USA,Children's Mercy Park
202,29/07/2021,03:30,Los Angeles FC,Minnesota United FC,2.0,2.0,,,"Banc of California Stadium, Los Angeles, CA (USA)",Banc of California Stadium, Los Angeles, CA ,USA,
203,31/07/2021,00:30,New York City FC,Columbus Crew,4.0,1.0,New York City FC,4.0,"Yankee Stadium, New York City, NY (USA)",Yankee Stadium, New York City, NY ,USA,Yankee Stadium
204,31/07/2021,01:00,Orlando City,Atlanta United FC,3.0,2.0,Orlando City,3.0,"Exploria Stadium, Orlando, FL (USA)",Exploria Stadium, Orlando, FL ,USA,Exploria Stadium
205,31/07/2021,03:00,Los Angeles Galaxy,Portland Timbers,4.0,1.0,Los Angeles Galaxy,4.0,"Dignity Health Sports Park, Carson, CA (USA)",Dignity Health Sports Park, Carson, CA ,USA,Dignity Health Sports Park
206,31/07/2021,22:00,Seattle Sounders,San Jose Earthquakes,0.0,1.0,San Jose Earthquakes,1.0,"Lumen Field, Seattle, WA (USA)",Lumen Field, Seattle, WA ,USA,Earthquakes Stadium
207,5. Round,5. Round,5. Round,5. Round,,,,,,,,,,
208,5. Round,23:00,New York RB,New England Revolution,2.0,3.0,New England Revolution,3.0,"Red Bull Arena, Harrison, NJ (USA)",Red Bull Arena, Harrison, NJ ,USA,Gillette Stadium
209,01/08/2021,00:30,FC Cincinnati,D.C. United,0.0,0.0,,,"TQL Stadium, Cincinnati, OH (USA)",TQL Stadium, Cincinnati, OH ,USA,
210,01/08/2021,01:00,Inter Miami CF,CF Montréal,2.0,1.0,Inter Miami CF,2.0,"DRV PNK Stadium, Fort Lauderdale, FL (USA)",DRV PNK Stadium, Fort Lauderdale, FL ,USA,DRV PNK Stadium
211,01/08/2021,01:30,Houston Dynamo,Real Salt Lake,0.0,0.0,,,"PNC Stadium, Houston, TX (USA)",PNC Stadium, Houston, TX ,USA,
212,01/08/2021,01:30,Sporting Kansas City,FC Dallas,1.0,2.0,FC Dallas,2.0,"Children's Mercy Park, Kansas City, KS (USA)",Children's Mercy Park, Kansas City, KS ,USA,Toyota Stadium
213,01/08/2021,02:00,Austin FC,Colorado Rapids,0.0,1.0,Colorado Rapids,1.0,"Q2 Stadium, Austin, TX (USA)",Q2 Stadium, Austin, TX ,USA,Dick's Sporting Goods Park
214,01/08/2021,03:00,Vancouver Whitecaps,Minnesota United FC,2.0,2.0,,,"Rio Tinto Stadium, Sandy, UT (USA)",Rio Tinto Stadium, Sandy, UT ,USA,
215,01/08/2021,23:00,Philadelphia Union,Chicago Fire,1.0,1.0,,,"Subaru Park, Chester, PA (USA)",Subaru Park, Chester, PA ,USA,
216,02/08/2021,00:30,Toronto FC,Nashville SC,1.0,1.0,,,"BMO Field, Toronto, ON (Canada)",BMO Field, Toronto, ON ,Canada,
217,05/08/2021,00:00,New England Revolution,Nashville SC,0.0,0.0,,,"Gillette Stadium, Foxborough, MA (USA)",Gillette Stadium, Foxborough, MA ,USA,
218,05/08/2021,00:30,CF Montréal,Atlanta United FC,2.0,2.0,,,"Stade Saputo, Montréal, QC (Canada)",Stade Saputo, Montréal, QC ,Canada,
219,05/08/2021,00:30,Columbus Crew,D.C. United,2.0,4.0,D.C. United,4.0,"Lower.com Field, Columbus, OH (USA)",Lower.com Field, Columbus, OH ,USA,Audi Field
220,05/08/2021,00:30,Philadelphia Union,Toronto FC,3.0,0.0,Philadelphia Union,3.0,"Subaru Park, Chester, PA (USA)",Subaru Park, Chester, PA ,USA,Subaru Park
221,05/08/2021,01:00,New York RB,FC Cincinnati,0.0,0.0,,,"Red Bull Arena, Harrison, NJ (USA)",Red Bull Arena, Harrison, NJ ,USA,
222,05/08/2021,01:00,Orlando City,Inter Miami CF,1.0,1.0,,,"Exploria Stadium, Orlando, FL (USA)",Exploria Stadium, Orlando, FL ,USA,
223,05/08/2021,01:00,Chicago Fire,New York City FC,0.0,0.0,,,"Soldier Field, Chicago, IL (USA)",Soldier Field, Chicago, IL ,USA,
224,05/08/2021,02:00,Austin FC,Houston Dynamo,3.0,2.0,Austin FC,3.0,"Q2 Stadium, Austin, TX (USA)",Q2 Stadium, Austin, TX ,USA,Q2 Stadium
225,05/08/2021,03:00,Seattle Sounders,FC Dallas,1.0,1.0,,,"Lumen Field, Seattle, WA (USA)",Lumen Field, Seattle, WA ,USA,
226,05/08/2021,03:30,Los Angeles Galaxy,Real Salt Lake,1.0,0.0,Los Angeles Galaxy,1.0,"Dignity Health Sports Park, Carson, CA (USA)",Dignity Health Sports Park, Carson, CA ,USA,Dignity Health Sports Park
227,05/08/2021,03:30,Los Angeles FC,Sporting Kansas City,1.0,4.0,Sporting Kansas City,4.0,"Banc of California Stadium, Los Angeles, CA (USA)",Banc of California Stadium, Los Angeles, CA ,USA,Children's Mercy Park
228,05/08/2021,03:30,Portland Timbers,San Jose Earthquakes,1.0,1.0,,,"Providence Park, Portland, OR (USA)",Providence Park, Portland, OR ,USA,
229,08/08/2021,00:30,Columbus Crew,Atlanta United FC,2.0,3.0,Atlanta United FC,3.0,"Lower.com Field, Columbus, OH (USA)",Lower.com Field, Columbus, OH ,USA,Mercedes-Benz Stadium
230,08/08/2021,00:30,FC Cincinnati,Orlando City,1.0,1.0,,,"TQL Stadium, Cincinnati, OH (USA)",TQL Stadium, Cincinnati, OH ,USA,
231,08/08/2021,01:00,Minnesota United FC,Houston Dynamo,2.0,0.0,Minnesota United FC,2.0,"Allianz Field, Saint Paul, MN (USA)",Allianz Field, Saint Paul, MN ,USA,Allianz Field
232,08/08/2021,01:00,Toronto FC,New York City FC,2.0,2.0,,,"BMO Field, Toronto, ON (Canada)",BMO Field, Toronto, ON ,Canada,
233,08/08/2021,01:30,FC Dallas,Austin FC,2.0,0.0,FC Dallas,2.0,"Toyota Stadium, Frisco, TX (USA)",Toyota Stadium, Frisco, TX ,USA,Toyota Stadium
234,08/08/2021,02:00,Colorado Rapids,Sporting Kansas City,0.0,0.0,,,"Dick's Sporting Goods Park, Commerce City, CO (USA)",Dick's Sporting Goods Park, Commerce City, CO ,USA,
235,08/08/2021,03:30,Portland Timbers,Real Salt Lake,3.0,2.0,Portland Timbers,3.0,"Providence Park, Portland, OR (USA)",Providence Park, Portland, OR ,USA,Providence Park
236,08/08/2021,23:00,Inter Miami CF,Nashville SC,2.0,1.0,Inter Miami CF,2.0,"DRV PNK Stadium, Fort Lauderdale, FL (USA)",DRV PNK Stadium, Fort Lauderdale, FL ,USA,DRV PNK Stadium
237,08/08/2021,23:00,Chicago Fire,New York RB,2.0,1.0,Chicago Fire,2.0,"Soldier Field, Chicago, IL (USA)",Soldier Field, Chicago, IL ,USA,Soldier Field
238,08/08/2021,23:00,New England Revolution,Philadelphia Union,2.0,1.0,New England Revolution,2.0,"Gillette Stadium, Foxborough, MA (USA)",Gillette Stadium, Foxborough, MA ,USA,Gillette Stadium
239,09/08/2021,00:00,San Jose Earthquakes,Los Angeles FC,2.0,1.0,San Jose Earthquakes,2.0,"Earthquakes Stadium, San Jose, CA (USA)",Earthquakes Stadium, San Jose, CA ,USA,Earthquakes Stadium
240,09/08/2021,01:00,D.C. United,CF Montréal,2.0,1.0,D.C. United,2.0,"Audi Field, Washington, D.C. (USA)",Audi Field, Washington, D.C. ,USA,Audi Field
241,09/08/2021,01:00,Los Angeles Galaxy,Vancouver Whitecaps,1.0,1.0,,,"Dignity Health Sports Park, Carson, CA (USA)",Dignity Health Sports Park, Carson, CA ,USA,
242,14/08/2021,03:30,San Jose Earthquakes,Vancouver Whitecaps,0.0,0.0,,,"Earthquakes Stadium, San Jose, CA (USA)",Earthquakes Stadium, San Jose, CA ,USA,
243,14/08/2021,23:00,Minnesota United FC,Los Angeles Galaxy,0.0,1.0,Los Angeles Galaxy,1.0,"Allianz Field, Saint Paul, MN (USA)",Allianz Field, Saint Paul, MN ,USA,Dignity Health Sports Park
244,15/08/2021,01:00,New York City FC,Inter Miami CF,2.0,0.0,New York City FC,2.0,"Red Bull Arena, Harrison, NJ (USA)",Red Bull Arena, Harrison, NJ ,USA,Yankee Stadium
245,15/08/2021,01:00,CF Montréal,New York RB,2.0,1.0,CF Montréal,2.0,"Stade Saputo, Montréal, QC (Canada)",Stade Saputo, Montréal, QC ,Canada,Stade Saputo
246,15/08/2021,01:00,Toronto FC,New England Revolution,1.0,2.0,New England Revolution,2.0,"BMO Field, Toronto, ON (Canada)",BMO Field, Toronto, ON ,Canada,Gillette Stadium
247,15/08/2021,01:30,FC Dallas,Sporting Kansas City,0.0,2.0,Sporting Kansas City,2.0,"Toyota Stadium, Frisco, TX (USA)",Toyota Stadium, Frisco, TX ,USA,Children's Mercy Park
248,15/08/2021,01:30,Houston Dynamo,Colorado Rapids,1.0,3.0,Colorado Rapids,3.0,"PNC Stadium, Houston, TX (USA)",PNC Stadium, Houston, TX ,USA,Dick's Sporting Goods Park
249,15/08/2021,03:00,Real Salt Lake,Austin FC,1.0,0.0,Real Salt Lake,1.0,"Rio Tinto Stadium, Sandy, UT (USA)",Rio Tinto Stadium, Sandy, UT ,USA,Rio Tinto Stadium
250,15/08/2021,21:00,Atlanta United FC,Los Angeles FC,1.0,0.0,Atlanta United FC,1.0,"Mercedes-Benz Stadium, Atlanta, GA (USA)",Mercedes-Benz Stadium, Atlanta, GA ,USA,Mercedes-Benz Stadium
251,15/08/2021,23:00,Chicago Fire,Columbus Crew,1.0,0.0,Chicago Fire,1.0,"Soldier Field, Chicago, IL (USA)",Soldier Field, Chicago, IL ,USA,Soldier Field
252,16/08/2021,00:00,Nashville SC,D.C. United,5.0,2.0,Nashville SC,5.0,"Nissan Stadium, Nashville, TN (USA)",Nissan Stadium, Nashville, TN ,USA,Fairgrounds Stadium
253,16/08/2021,03:00,Portland Timbers,Seattle Sounders,2.0,6.0,Seattle Sounders,6.0,"Providence Park, Portland, OR (USA)",Providence Park, Portland, OR ,USA,Lumen Field
254,18/08/2021,03:30,Los Angeles Galaxy,Colorado Rapids,1.0,2.0,Colorado Rapids,2.0,"Dignity Health Sports Park, Carson, CA (USA)",Dignity Health Sports Park, Carson, CA ,USA,Dick's Sporting Goods Park
255,18/08/2021,03:30,San Jose Earthquakes,Minnesota United FC,1.0,1.0,,,"Earthquakes Stadium, San Jose, CA (USA)",Earthquakes Stadium, San Jose, CA ,USA,
256,19/08/2021,00:00,Atlanta United FC,Toronto FC,1.0,0.0,Atlanta United FC,1.0,"Mercedes-Benz Stadium, Atlanta, GA (USA)",Mercedes-Benz Stadium, Atlanta, GA ,USA,Mercedes-Benz Stadium
257,19/08/2021,00:00,New England Revolution,D.C. United,3.0,2.0,New England Revolution,3.0,"Gillette Stadium, Foxborough, MA (USA)",Gillette Stadium, Foxborough, MA ,USA,Gillette Stadium
258,19/08/2021,00:30,Inter Miami CF,Chicago Fire,3.0,2.0,Inter Miami CF,3.0,"DRV PNK Stadium, Fort Lauderdale, FL (USA)",DRV PNK Stadium, Fort Lauderdale, FL ,USA,DRV PNK Stadium
259,19/08/2021,00:30,FC Cincinnati,CF Montréal,0.0,0.0,,,"TQL Stadium, Cincinnati, OH (USA)",TQL Stadium, Cincinnati, OH ,USA,
260,19/08/2021,00:30,Philadelphia Union,New York City FC,1.0,0.0,Philadelphia Union,1.0,"Subaru Park, Chester, PA (USA)",Subaru Park, Chester, PA ,USA,Subaru Park
261,19/08/2021,01:00,New York RB,Columbus Crew,1.0,0.0,New York RB,1.0,"Red Bull Arena, Harrison, NJ (USA)",Red Bull Arena, Harrison, NJ ,USA,Red Bull Arena
262,19/08/2021,01:30,FC Dallas,Seattle Sounders,0.0,1.0,Seattle Sounders,1.0,"Toyota Stadium, Frisco, TX (USA)",Toyota Stadium, Frisco, TX ,USA,Lumen Field
263,19/08/2021,01:30,Nashville SC,Orlando City,1.0,1.0,,,"Nissan Stadium, Nashville, TN (USA)",Nissan Stadium, Nashville, TN ,USA,
264,19/08/2021,01:30,Sporting Kansas City,Portland Timbers,1.0,1.0,,,"Children's Mercy Park, Kansas City, KS (USA)",Children's Mercy Park, Kansas City, KS ,USA,
265,19/08/2021,02:00,Austin FC,Vancouver Whitecaps,1.0,2.0,Vancouver Whitecaps,2.0,"Q2 Stadium, Austin, TX (USA)",Q2 Stadium, Austin, TX ,USA,BC Place
266,19/08/2021,03:00,Real Salt Lake,Houston Dynamo,2.0,1.0,Real Salt Lake,2.0,"Rio Tinto Stadium, Sandy, UT (USA)",Rio Tinto Stadium, Sandy, UT ,USA,Rio Tinto Stadium
267,21/08/2021,03:30,Los Angeles Galaxy,San Jose Earthquakes,1.0,2.0,San Jose Earthquakes,2.0,"Dignity Health Sports Park, Carson, CA (USA)",Dignity Health Sports Park, Carson, CA ,USA,Earthquakes Stadium
268,21/08/2021,20:30,Minnesota United FC,Sporting Kansas City,0.0,0.0,,,"Allianz Field, Saint Paul, MN (USA)",Allianz Field, Saint Paul, MN ,USA,
269,21/08/2021,22:30,Columbus Crew,Seattle Sounders,1.0,2.0,Seattle Sounders,2.0,"Lower.com Field, Columbus, OH (USA)",Lower.com Field, Columbus, OH ,USA,Lumen Field
270,22/08/2021,01:00,Inter Miami CF,Toronto FC,3.0,1.0,Inter Miami CF,3.0,"DRV PNK Stadium, Fort Lauderdale, FL (USA)",DRV PNK Stadium, Fort Lauderdale, FL ,USA,DRV PNK Stadium
271,22/08/2021,01:00,Orlando City,Chicago Fire,1.0,0.0,Orlando City,1.0,"Exploria Stadium, Orlando, FL (USA)",Exploria Stadium, Orlando, FL ,USA,Exploria Stadium
272,22/08/2021,01:00,Philadelphia Union,CF Montréal,1.0,1.0,,,"Subaru Park, Chester, PA (USA)",Subaru Park, Chester, PA ,USA,
273,22/08/2021,01:00,D.C. United,Atlanta United FC,1.0,2.0,Atlanta United FC,2.0,"Audi Field, Washington, D.C. (USA)",Audi Field, Washington, D.C. ,USA,Mercedes-Benz Stadium
274,22/08/2021,01:00,New England Revolution,FC Cincinnati,4.0,1.0,New England Revolution,4.0,"Gillette Stadium, Foxborough, MA (USA)",Gillette Stadium, Foxborough, MA ,USA,Gillette Stadium
275,22/08/2021,01:30,Houston Dynamo,FC Dallas,2.0,2.0,,,"PNC Stadium, Houston, TX (USA)",PNC Stadium, Houston, TX ,USA,
276,22/08/2021,02:00,Austin FC,Portland Timbers,3.0,1.0,Austin FC,3.0,"Q2 Stadium, Austin, TX (USA)",Q2 Stadium, Austin, TX ,USA,Q2 Stadium
277,22/08/2021,02:00,Colorado Rapids,Real Salt Lake,2.0,1.0,Colorado Rapids,2.0,"Dick's Sporting Goods Park, Commerce City, CO (USA)",Dick's Sporting Goods Park, Commerce City, CO ,USA,Dick's Sporting Goods Park
278,22/08/2021,03:00,Vancouver Whitecaps,Los Angeles FC,2.0,1.0,Vancouver Whitecaps,2.0,"BC Place, Vancouver, BC (Canada)",BC Place, Vancouver, BC ,Canada,BC Place
279,27/08/2021,23:30,Columbus Crew,FC Cincinnati,3.0,2.0,Columbus Crew,3.0,"Lower.com Field, Columbus, OH (USA)",Lower.com Field, Columbus, OH ,USA,Lower.com Field
280,28/08/2021,00:30,CF Montréal,Toronto FC,3.0,1.0,CF Montréal,3.0,"Stade Saputo, Montréal, QC (Canada)",Stade Saputo, Montréal, QC ,Canada,Stade Saputo
281,28/08/2021,01:30,Orlando City,Inter Miami CF,0.0,0.0,,,"Exploria Stadium, Orlando, FL (USA)",Exploria Stadium, Orlando, FL ,USA,
282,28/08/2021,20:30,Atlanta United FC,Nashville SC,0.0,2.0,Nashville SC,2.0,"Mercedes-Benz Stadium, Atlanta, GA (USA)",Mercedes-Benz Stadium, Atlanta, GA ,USA,Fairgrounds Stadium
283,28/08/2021,23:00,New York RB,Chicago Fire,0.0,1.0,Chicago Fire,1.0,"Red Bull Arena, Harrison, NJ (USA)",Red Bull Arena, Harrison, NJ ,USA,Soldier Field
