,date,time,teamA,teamB,teamA_score,teamB_score,winner_Team,winner_score,venue_location,venue,venue_city,venue_state,venue_country,winner_location
174,10/10/2020,23:00,Atlanta United FC,New York RB,0.0,1.0,New York RB,1.0,"Mercedes-Benz Stadium, Atlanta, GA (USA)",Mercedes-Benz Stadium, Atlanta, GA ,USA,Red Bull Arena
175,11/10/2020,03:00,Vancouver Whitecaps,Real Salt Lake,2.0,1.0,Vancouver Whitecaps,2.0,"Providence Park, Portland, OR (USA)",Providence Park, Portland, OR ,USA,BC Place
176,11/10/2020,21:30,New York City FC,New England Revolution,1.0,2.0,New England Revolution,2.0,"Yankee Stadium, New York City, NY (USA)",Yankee Stadium, New York City, NY ,USA,Gillette Stadium
177,12/10/2020,,FC Dallas,Minnesota United FC,,,,,,,,,,
178,12/10/2020,00:00,Los Angeles FC,Seattle Sounders,3.0,1.0,Los Angeles FC,3.0,"Banc of California Stadium, Los Angeles, CA (USA)",Banc of California Stadium, Los Angeles, CA ,USA,Banc of California Stadium
179,12/10/2020,00:30,Chicago Fire,D.C. United,2.0,1.0,Chicago Fire,2.0,"Soldier Field, Chicago, IL (USA)",Soldier Field, Chicago, IL ,USA,Soldier Field
180,12/10/2020,00:30,FC Cincinnati,Toronto FC,0.0,1.0,Toronto FC,1.0,"Nippert Stadium, Cincinnati, OH (USA)",Nippert Stadium, Cincinnati, OH ,USA,BMO Field
181,12/10/2020,00:30,Philadelphia Union,Impact de Montréal,2.0,1.0,Philadelphia Union,2.0,"Subaru Park, Chester, PA (USA)",Subaru Park, Chester, PA ,USA,Subaru Park
182,12/10/2020,00:30,Sporting Kansas City,Nashville SC,2.0,1.0,Sporting Kansas City,2.0,"Children's Mercy Park, Kansas City, KS (USA)",Children's Mercy Park, Kansas City, KS ,USA,Children's Mercy Park
183,12/10/2020,03:00,Portland Timbers,San Jose Earthquakes,3.0,0.0,Portland Timbers,3.0,"Providence Park, Portland, OR (USA)",Providence Park, Portland, OR ,USA,Providence Park
184,15/10/2020,,Seattle Sounders,Colorado Rapids,,,,,,,,,,
185,15/10/2020,00:30,Impact de Montréal,New England Revolution,2.0,3.0,New England Revolution,3.0,"Red Bull Arena, Harrison, NJ (USA)",Red Bull Arena, Harrison, NJ ,USA,Gillette Stadium
186,15/10/2020,00:30,FC Cincinnati,Columbus Crew,2.0,1.0,FC Cincinnati,2.0,"Nippert Stadium, Cincinnati, OH (USA)",Nippert Stadium, Cincinnati, OH ,USA,TQL Stadium
187,15/10/2020,00:30,Orlando City,New York City FC,1.0,1.0,,,"Exploria Stadium, Orlando, FL (USA)",Exploria Stadium, Orlando, FL ,USA,
188,15/10/2020,00:30,Toronto FC,New York RB,1.0,1.0,,,"Rentschler Field, East Hartford, CT (USA)",Rentschler Field, East Hartford, CT ,USA,
189,15/10/2020,01:00,D.C. United,Philadelphia Union,2.0,2.0,,,"Audi Field, Washington, D.C. (USA)",Audi Field, Washington, D.C. ,USA,
190,15/10/2020,01:00,Houston Dynamo,Nashville SC,1.0,3.0,Nashville SC,3.0,"PNC Stadium, Houston, TX (USA)",PNC Stadium, Houston, TX ,USA,Fairgrounds Stadium
191,15/10/2020,01:00,Inter Miami CF,Atlanta United FC,1.0,1.0,,,"DRV PNK Stadium, Fort Lauderdale, FL (USA)",DRV PNK Stadium, Fort Lauderdale, FL ,USA,
192,15/10/2020,01:30,FC Dallas,Sporting Kansas City,1.0,0.0,FC Dallas,1.0,"Toyota Stadium, Frisco, TX (USA)",Toyota Stadium, Frisco, TX ,USA,Toyota Stadium
193,15/10/2020,02:30,Real Salt Lake,Portland Timbers,2.0,1.0,Real Salt Lake,2.0,"Rio Tinto Stadium, Sandy, UT (USA)",Rio Tinto Stadium, Sandy, UT ,USA,Rio Tinto Stadium
194,15/10/2020,03:00,Vancouver Whitecaps,Los Angeles FC,2.0,1.0,Vancouver Whitecaps,2.0,"Providence Park, Portland, OR (USA)",Providence Park, Portland, OR ,USA,BC Place
195,15/10/2020,03:30,Los Angeles Galaxy,San Jose Earthquakes,0.0,4.0,San Jose Earthquakes,4.0,"Dignity Health Sports Park, Carson, CA (USA)",Dignity Health Sports Park, Carson, CA ,USA,Earthquakes Stadium
196,17/10/2020,20:30,Chicago Fire,Sporting Kansas City,2.0,2.0,,,"Soldier Field, Chicago, IL (USA)",Soldier Field, Chicago, IL ,USA,
197,18/10/2020,00:00,Impact de Montréal,Inter Miami CF,2.0,1.0,Impact de Montréal,2.0,"Red Bull Arena, Harrison, NJ (USA)",Red Bull Arena, Harrison, NJ ,USA,Stade Saputo
198,19/10/2020,,Colorado Rapids,Real Salt Lake,,,,,,,,,,
199,18/10/2020,23:00,Columbus Crew,New York City FC,3.0,1.0,Columbus Crew,3.0,"MAPFRE Stadium, Columbus, OH (USA)",MAPFRE Stadium, Columbus, OH ,USA,Lower.com Field
200,19/10/2020,00:00,New York RB,Orlando City,1.0,1.0,,,"Red Bull Arena, Harrison, NJ (USA)",Red Bull Arena, Harrison, NJ ,USA,
201,19/10/2020,00:30,FC Cincinnati,D.C. United,1.0,2.0,D.C. United,2.0,"Nippert Stadium, Cincinnati, OH (USA)",Nippert Stadium, Cincinnati, OH ,USA,Audi Field
202,19/10/2020,00:30,Toronto FC,Atlanta United FC,1.0,0.0,Toronto FC,1.0,"Rentschler Field, East Hartford, CT (USA)",Rentschler Field, East Hartford, CT ,USA,BMO Field
203,19/10/2020,01:00,Minnesota United FC,Houston Dynamo,2.0,2.0,,,"Allianz Field, Saint Paul, MN (USA)",Allianz Field, Saint Paul, MN ,USA,
204,19/10/2020,03:00,Portland Timbers,Los Angeles FC,1.0,1.0,,,"Providence Park, Portland, OR (USA)",Providence Park, Portland, OR ,USA,
205,19/10/2020,03:30,Los Angeles Galaxy,Vancouver Whitecaps,1.0,0.0,Los Angeles Galaxy,1.0,"Dignity Health Sports Park, Carson, CA (USA)",Dignity Health Sports Park, Carson, CA ,USA,Dignity Health Sports Park
206,19/10/2020,03:30,San Jose Earthquakes,Seattle Sounders,0.0,0.0,,,"Earthquakes Stadium, San Jose, CA (USA)",Earthquakes Stadium, San Jose, CA ,USA,
207,20/10/2020,00:30,New England Revolution,Philadelphia Union,1.0,2.0,Philadelphia Union,2.0,"Gillette Stadium, Foxborough, MA (USA)",Gillette Stadium, Foxborough, MA ,USA,Subaru Park
208,21/10/2020,01:30,Nashville SC,FC Dallas,3.0,0.0,Nashville SC,3.0,"Nissan Stadium, Nashville, TN (USA)",Nissan Stadium, Nashville, TN ,USA,Fairgrounds Stadium
209,22/10/2020,,Colorado Rapids,Sporting Kansas City,,,,,,,,,,
210,23/10/2020,03:30,Seattle Sounders,Portland Timbers,1.0,1.0,,,"Lumen Field, Seattle, WA (USA)",Lumen Field, Seattle, WA ,USA,
211,24/10/2020,02:50,Nashville SC,New England Revolution,1.0,1.0,,,"Nissan Stadium, Nashville, TN (USA)",Nissan Stadium, Nashville, TN ,USA,
212,24/10/2020,20:30,Inter Miami CF,Orlando City,2.0,1.0,Inter Miami CF,2.0,"DRV PNK Stadium, Fort Lauderdale, FL (USA)",DRV PNK Stadium, Fort Lauderdale, FL ,USA,DRV PNK Stadium
213,24/10/2020,21:00,Atlanta United FC,D.C. United,1.0,2.0,D.C. United,2.0,"Mercedes-Benz Stadium, Atlanta, GA (USA)",Mercedes-Benz Stadium, Atlanta, GA ,USA,Audi Field
